date,commit,binary,size_bytes,gzip_bytes,delta_bytes,delta_gzip
2026-03-13T15:40:38Z,23030ed,target/release/ropy,27043472,10262065,,
2026-03-14T08:08:17Z,9b47465,target/release/ropy,27432016,10334765,388544,72700
2026-03-19T15:50:52Z,b4bfe3f,target/release/ropy,27450464,10341325,18448,6560
2026-03-20T09:39:33Z,18a6f78,target/release/ropy,27426848,10338980,-23616,-2345
2026-03-22T12:31:03Z,2f667f5,target/release/ropy,27412368,10324991,-14480,-13989
2026-03-23T03:11:24Z,63a7ffe,target/release/ropy,27416592,10326988,4224,1997
2026-03-23T07:17:38Z,24a8551,target/release/ropy,27399408,10322276,-17184,-4712
2026-03-23T08:28:48Z,b77d979,target/release/ropy,27428176,10325710,28768,3434
2026-03-23T15:23:00Z,850fb3b,target/release/ropy,27417792,10328878,-10384,3168
2026-03-23T16:31:43Z,abfe43a,target/release/ropy,27442752,10336563,24960,7685
2026-03-24T03:52:41Z,8fae7e5,target/release/ropy,27466112,10345963,23360,9400
2026-03-24T15:49:54Z,32bfac3,target/release/ropy,27446176,10341607,-19936,-4356
2026-03-26T12:20:01Z,ef5585b,target/release/ropy,27425648,10331518,-20528,-10089
2026-03-26T12:48:20Z,ef5585b,target/release/ropy,27460496,10339924,34848,8406
2026-03-26T15:33:27Z,1dd7f60,target/release/ropy,27441600,10334284,-18896,-5640
2026-03-26T16:03:31Z,3de6083,target/release/ropy,27493440,10348677,51840,14393
2026-03-28T09:29:39Z,b824ba1,target/release/ropy,27518640,10364356,25200,15679
2026-03-28T09:38:52Z,b824ba1,target/release/ropy,11578528,5009016,-15940112,-5355340
2026-03-28T09:47:28Z,5900c58,target/release/ropy,11209728,4628851,-368800,-380165
2026-03-31T04:58:23Z,7d6d10a,target/release/ropy,11214480,4632412,4752,3561
2026-03-31T05:27:25Z,63d7848,target/release/ropy,11215648,4632666,1168,254
2026-03-31T05:39:32Z,48ab8a7,target/release/ropy,11215792,4632412,144,-254
2026-03-31T15:52:27Z,cc52896,target/release/ropy,11279568,4655636,63776,23224
2026-04-01T02:24:36Z,e2e4ff8,target/release/ropy,11279008,4654768,-560,-868
2026-04-01T09:36:07Z,1a700aa,target/release/ropy,11298304,4658494,19296,3726
2026-04-01T13:35:36Z,5b412e1,target/release/ropy,11637712,4828122,339408,169628
2026-04-03T03:10:12Z,29d9cc6,target/release/ropy,11644976,4830952,7264,2830
2026-04-07T02:37:31Z,02f3d63,target/release/ropy,11672640,4851071,27664,20119
2026-04-07T03:45:37Z,0fd16e1,target/release/ropy,11673456,4850783,816,-288
2026-04-08T03:02:29Z,b69bbbf,target/release/ropy,11688896,4854310,15440,3527
2026-04-08T15:02:02Z,df10325,target/release/ropy,11687232,4851377,-1664,-2933
2026-04-09T03:03:05Z,66e9bc1,target/release/ropy,11693136,4857605,5904,6228
2026-04-16T09:29:34Z,c98259c,target/release/ropy,11692768,4857677,-368,72
2026-04-18T09:34:43Z,c7ea8eb,target/release/ropy,11754080,4860981,61312,3304
2026-04-25T08:35:02Z,ae6aac8,target/release/ropy,15021760,6330006,3267680,1469025
2026-04-25T08:51:21Z,282f6eb,target/release/ropy,13524032,5901903,-1497728,-428103
2026-04-25T10:32:15Z,cadcc3d,target/release/ropy,12003776,5661747,-1520256,-240156
2026-04-29T03:18:16Z,25c509d,target/release/ropy,12003760,5669369,-16,7622
2026-05-06T02:29:00Z,8251a32,target/release/ropy,12003744,5670226,-16,857
